Row,Column,line.id,line.name,seed.weight_20190208.65.1,plant_date_20190318.1.1,vern_end_date_20190318.1.1,flowering_date,final_leaf_number,spikelet_number,height_mm,tiller_count,spike_length
129,6,19,ETAWAH,0.55,20180413,20180613,20180815,8,17,474,3,69
132,5,16,YAKTANA_54,3.36,20180413,20180613,20180921,11,22,868,2,90
134,8,43,OXLEY,0.57,20180413,20180613,20180906,8,18,411,4,69
135,1,25,WW80,4.47,20180413,20180613,20180815,7,18,240,6,62
135,2,16,YAKTANA_54,6.83,20180413,20180613,20180921,10,18,645,5,70
137,1,27,GULAR,3.88,20180413,20180613,20180808,7,19,495,7,77
137,2,13,STEINWEDEL,8,20180413,20180613,20180910,10,26,700,5,97
137,6,1,FEDERATION,3.59,20180413,20180613,20180921,11,19,623,3,91
137,11,28,LANCER,0.62,20180413,20180613,20180810,8,16,309,3,73
139,2,36,SONORA_64,2.5,20180413,20180613,20180824,7,18,425,6,88
139,6,39,EGRET,2.97,20180413,20180613,20180822,9,14,407,3,53
139,8,39,EGRET,2.11,20180413,20180613,20180815,9,18,442,4,78
141,9,42,VERANOPOLIS,1.88,20180413,20180613,20180808,7,17,783,3,90
144,4,22,OLYMPIC,4.26,20180413,20180613,20180903,9,21,414,4,96
